order_id,order_date,invoice_amount,customer_ref,gst_period
order_0bdcf4562a9d4c,2026-12-03,31933.49,CUST3441,2026-12
order_ab1c2ad9f9d141,2026-12-03,25640.25,CUST9725,2026-12
order_5eaa1c341ab144,2026-12-03,26727.72,CUST8533,2026-12
order_8c13b66e04864f,2026-12-03,15579.47,CUST9895,2026-12
order_8f7ef8d989f840,2026-12-02,12528.93,CUST9768,2026-12
order_8430d64291d24c,2026-12-03,40230.01,CUST3071,2026-12
order_07a5573597ee4f,2026-11-28,19116.69,CUST9608,2026-11
order_e69cedd725904c,2026-11-28,6442.79,CUST4101,2026-11
order_c5e22c9aad3944,2026-11-28,12638.87,CUST9801,2026-11
order_2a4e44fd51784c,2026-12-06,19374.75,CUST7112,2026-12
order_06865460aaa643,2026-12-06,27694.61,CUST5074,2026-12
order_4fa68188a0214a,2026-12-06,16507.71,CUST1216,2026-12
order_3d27c637c34747,2026-12-06,41403.62,CUST4999,2026-12
order_5aa72968603049,2026-12-06,14583.45,CUST2215,2026-12
order_211f3293bea14e,2026-12-08,44712.93,CUST7213,2026-12
order_7a14a1b210e64d,2026-12-08,8716.22,CUST6685,2026-12
order_3fe7a0b824024e,2026-12-08,34148.45,CUST4154,2026-12
order_c7b61166ca5442,2026-12-09,6862.57,CUST5687,2026-12
order_a1931bcd85f243,2026-12-10,8736.58,CUST5633,2026-12
order_89357fd4d77245,2026-12-10,21144.61,CUST3028,2026-12
order_e46219367ecd4f,2026-12-10,36188.7,CUST2407,2026-12
order_94fa8189f1d84f,2026-12-10,7919.12,CUST2375,2026-12
order_091146e36bb843,2026-12-12,8164.38,CUST8074,2026-12
order_7b4b41dda7f64d,2026-12-13,4673.49,CUST8180,2026-12
order_2e18b76ec1d446,2026-12-12,9537.25,CUST4792,2026-12
order_08b2cd5c45a548,2026-12-13,9619.23,CUST2501,2026-12
order_f0c827e2a3164e,2026-12-13,11587.34,CUST6062,2026-12
order_f5e8d76c88f54f,2026-12-13,39032.62,CUST4946,2026-12
order_750217184e5848,2026-12-14,43155.27,CUST3296,2026-12
order_d93c7195496540,2026-12-14,5819.0,CUST4273,2026-12
order_ba132a553d0343,2026-12-14,31221.16,CUST5502,2026-12
order_371a50961f354e,2026-12-14,3329.14,CUST4829,2026-12
order_4052a329529342,2026-12-14,44388.2,CUST3427,2026-12
order_8c1deb322bf04d,2026-12-14,39912.68,CUST3922,2026-12
order_40072990dc434b,2026-12-16,33916.15,CUST7894,2026-12
order_b550a8e45ef54b,2026-12-16,20283.67,CUST5898,2026-12
order_b9bcdebb38db4b,2026-12-17,40380.33,CUST9484,2026-12
order_6353a9f245d34b,2026-12-19,8671.25,CUST9599,2026-12
order_c28a07c5bad341,2026-12-18,12157.5,CUST3900,2026-12
order_1736b8f478ec41,2026-12-18,40382.21,CUST2251,2026-12
order_c4180c803a2143,2026-12-19,30446.19,CUST5073,2026-12
order_8ee82a032c534c,2026-12-21,25367.62,CUST7567,2026-12
order_82d40e9f5cf941,2026-12-21,35825.84,CUST8519,2026-12
order_9ee69684e38944,2026-12-20,2308.01,CUST6386,2026-12
order_5a875cea87e049,2026-12-20,5400.65,CUST7266,2026-12
order_4dac27796e744e,2026-12-21,6390.04,CUST2747,2026-12
order_e08c2c93911b4a,2026-12-20,30648.68,CUST9994,2026-12
order_fcae9fefa34a43,2026-12-23,36694.59,CUST3223,2026-12
order_1d2c1f60486941,2026-12-23,15768.74,CUST7499,2026-12
order_d617d5347b524c,2026-12-23,9599.2,CUST8054,2026-12
order_121050aca5364d,2026-12-22,21470.82,CUST9868,2026-12
order_09796f5ddcde4b,2026-12-23,34654.08,CUST4119,2026-12
order_406e30d1e90343,2026-12-22,26491.28,CUST2503,2026-12
order_f74ce7b5352047,2026-12-25,21674.3,CUST9180,2026-12
order_28e0ac11d7174e,2026-12-24,13763.79,CUST7872,2026-12
order_ef21293bc98b44,2026-12-24,7438.57,CUST7523,2026-12
order_01ccd801d27244,2026-12-25,7242.58,CUST6761,2026-12
order_5dea1c9f125845,2026-12-25,18434.74,CUST4263,2026-12
order_c626fa344bc948,2026-12-25,3869.94,CUST3382,2026-12
order_8b15c73465784b,2026-12-27,11989.31,CUST6540,2026-12
order_8cb0d202db264b,2026-12-26,29263.64,CUST4504,2026-12
order_74e65a123c1346,2026-12-27,6339.72,CUST2273,2026-12
order_8a01f1f1f8a64d,2026-12-26,12419.5,CUST8274,2026-12
order_e7f51c4962d349,2026-12-28,24010.67,CUST8074,2026-12
order_ee3400dd1f5b45,2026-12-29,37970.6,CUST5903,2026-12
order_2b48248d0a664c,2026-12-28,36057.93,CUST9676,2026-12
order_590216a09e9e47,2026-12-29,26874.7,CUST2473,2026-12
order_d2ae7c778f4e4c,2026-12-29,5004.32,CUST1021,2026-12
order_edcbc0e84f2b4f,2026-12-30,27481.02,CUST5013,2026-12
order_a261b73e14d140,2026-12-31,22293.29,CUST4069,2026-12
order_e71091b2791344,2026-12-31,39970.95,CUST1277,2026-12
order_e82b4e7cb74644,2026-12-30,26613.43,CUST8333,2026-12
order_f45263cdec4449,2026-12-31,44451.07,CUST6107,2026-12
order_067bb6cc8b9545,2027-01-02,5445.81,CUST4345,2027-01
order_fc20e77d475b4d,2027-01-01,32271.33,CUST8180,2027-01
order_7adf30ba69d447,2027-01-02,14246.24,CUST7200,2027-01
order_7ace05a9739742,2027-01-01,6083.75,CUST3658,2027-01
order_726e567d08464c,2027-01-01,31330.44,CUST4849,2027-01
order_9a30f9c8f52a42,2027-01-03,14667.51,CUST2981,2027-01
order_f5b846a0017546,2027-01-04,23330.43,CUST3058,2027-01
order_5b23e25c100840,2027-01-03,11502.51,CUST6925,2027-01
order_18df9bbb1f014f,2027-01-04,26781.94,CUST4134,2027-01
order_718244fb001d41,2027-01-04,18762.44,CUST5415,2027-01
order_66e0de4ff3344c,2027-01-04,20772.48,CUST9770,2027-01
order_e49eff87d9a745,2027-01-05,31264.5,CUST4483,2027-01
order_b72a69ed055a4c,2027-01-06,1105.19,CUST8035,2027-01
order_bfa5e84bfe9744,2027-01-06,2512.51,CUST5072,2027-01
