settlement_id,order_id,payment_id,order_date,settlement_date,gross_amount,mdr_fee,gst_on_mdr,refund_amount,chargeback_amount
setl_826d467efc7841,order_2e18b76ec1d446,pay_17c0d986224749,2026-12-12,2026-12-14,9537.25,190.75,34.34,0.0,0.0
setl_826d467efc7841,order_08b2cd5c45a548,pay_71b13cad804d45,2026-12-13,2026-12-14,9619.23,192.38,34.63,0.0,0.0
setl_826d467efc7841,order_f0c827e2a3164e,pay_54b2c53a705c42,2026-12-13,2026-12-14,11587.34,231.75,41.71,0.0,0.0
setl_826d467efc7841,order_f5e8d76c88f54f,pay_78125807c4144f,2026-12-13,2026-12-14,39032.62,780.65,140.52,0.0,0.0
setl_1e467550a4004e,order_750217184e5848,pay_0ea624c8d53c4f,2026-12-14,2026-12-16,43155.27,863.11,155.36,0.0,8100.06
setl_1e467550a4004e,order_d93c7195496540,pay_3c84e15d7e3d44,2026-12-14,2026-12-16,5819.0,116.38,20.95,0.0,0.0
setl_1e467550a4004e,order_ba132a553d0343,pay_b1e79ac75f0c4a,2026-12-14,2026-12-16,31221.16,624.42,112.4,0.0,0.0
setl_1e467550a4004e,order_371a50961f354e,pay_e0aca1e105094f,2026-12-14,2026-12-16,3329.14,66.58,11.98,0.0,0.0
setl_1e467550a4004e,order_4052a329529342,pay_3341ee236a124c,2026-12-14,2026-12-16,44388.2,887.76,159.8,0.0,0.0
setl_1e467550a4004e,order_8c1deb322bf04d,pay_71363b83648145,2026-12-14,2026-12-16,39912.68,798.25,143.69,0.0,0.0
setl_3a1552c168e44a,order_40072990dc434b,pay_02740aaf4a6441,2026-12-16,2026-12-18,33916.15,847.9,152.62,0.0,0.0
setl_3a1552c168e44a,order_b550a8e45ef54b,pay_4d7c15744e864d,2026-12-16,2026-12-18,20283.67,507.09,91.28,0.0,0.0
setl_3a1552c168e44a,order_b9bcdebb38db4b,pay_85d67606ee674f,2026-12-17,2026-12-18,40380.33,1009.51,181.71,0.0,0.0
setl_73baf7fb13b24d,order_6353a9f245d34b,pay_0b07e0b1c8f440,2026-12-19,2026-12-20,8671.25,173.43,31.22,0.0,0.0
setl_73baf7fb13b24d,order_c28a07c5bad341,pay_0ab83b31433846,2026-12-18,2026-12-20,12157.5,243.15,43.77,0.0,0.0
setl_73baf7fb13b24d,order_1736b8f478ec41,pay_87b03bf8b4694e,2026-12-18,2026-12-20,40382.21,807.64,145.38,0.0,0.0
setl_73baf7fb13b24d,order_c4180c803a2143,pay_a0fcd2b1d2cd42,2026-12-19,2026-12-20,30446.19,608.92,109.61,0.0,0.0
setl_af85d94e18034b,order_8ee82a032c534c,pay_a60196e2b9cb44,2026-12-21,2026-12-22,25367.62,507.35,91.32,0.0,0.0
setl_af85d94e18034b,order_82d40e9f5cf941,pay_adc5567224884e,2026-12-21,2026-12-22,35825.84,716.52,128.97,0.0,0.0
setl_af85d94e18034b,order_9ee69684e38944,pay_1a59392b4d1a4a,2026-12-20,2026-12-22,2308.01,46.16,8.31,0.0,0.0
setl_af85d94e18034b,order_5a875cea87e049,pay_a7b6b24ac0ab40,2026-12-20,2026-12-22,5400.65,108.01,19.44,0.0,0.0
setl_af85d94e18034b,order_4dac27796e744e,pay_9c829c44d85b40,2026-12-21,2026-12-22,6390.04,127.8,23.0,0.0,0.0
setl_af85d94e18034b,order_e08c2c93911b4a,pay_04ecaa3fe34a42,2026-12-20,2026-12-22,30648.68,612.97,110.33,0.0,0.0
setl_6ac7af0d0be34f,order_fcae9fefa34a43,pay_a47172cf70024a,2026-12-23,2026-12-24,36694.59,733.89,132.1,2469.48,0.0
setl_6ac7af0d0be34f,order_1d2c1f60486941,pay_e12ddd5c4e844c,2026-12-23,2026-12-24,15768.74,315.37,56.77,0.0,0.0
setl_6ac7af0d0be34f,order_d617d5347b524c,pay_7759a4d4675447,2026-12-23,2026-12-24,9599.2,191.98,34.56,0.0,0.0
setl_6ac7af0d0be34f,order_121050aca5364d,pay_472a48a7c9e04d,2026-12-22,2026-12-24,21470.82,429.42,77.3,0.0,0.0
setl_6ac7af0d0be34f,order_09796f5ddcde4b,pay_c3a9f39b533246,2026-12-23,2026-12-24,34654.08,693.08,124.75,0.0,0.0
setl_6ac7af0d0be34f,order_406e30d1e90343,pay_192e9638786947,2026-12-22,2026-12-24,26491.28,529.83,95.37,0.0,0.0
setl_20ec645a56124c,order_f74ce7b5352047,pay_2d2a1d11aa704b,2026-12-25,2026-12-26,21674.3,433.49,78.03,1329.61,0.0
setl_20ec645a56124c,order_28e0ac11d7174e,pay_7d3dd3a9d30a42,2026-12-24,2026-12-26,13763.79,275.28,49.55,42.61,0.0
setl_20ec645a56124c,order_ef21293bc98b44,pay_d841647a441041,2026-12-24,2026-12-26,7438.57,148.77,26.78,0.0,0.0
setl_20ec645a56124c,order_01ccd801d27244,pay_3ae45793493440,2026-12-25,2026-12-26,7242.58,144.85,26.07,0.0,0.0
setl_20ec645a56124c,order_5dea1c9f125845,pay_0ff0fd91f7ef48,2026-12-25,2026-12-26,18434.74,368.69,66.36,1298.8,0.0
setl_20ec645a56124c,order_c626fa344bc948,pay_58fc919b2fc64f,2026-12-25,2026-12-26,3869.94,77.4,13.93,0.0,0.0
setl_df624421416644,order_8b15c73465784b,pay_38024cafe39849,2026-12-27,2026-12-28,11989.31,239.79,43.16,0.0,0.0
setl_df624421416644,order_8cb0d202db264b,pay_f8363a8a402a4b,2026-12-26,2026-12-28,29263.64,585.27,105.35,0.0,0.0
setl_df624421416644,order_74e65a123c1346,pay_6bb8077baa554c,2026-12-27,2026-12-28,6339.72,126.79,22.82,0.0,0.0
setl_df624421416644,order_8a01f1f1f8a64d,pay_9fb67e751d2a45,2026-12-26,2026-12-28,12419.5,248.39,44.71,0.0,0.0
setl_2b3c9230e02040,order_e7f51c4962d349,pay_88cf8eaabf5742,2026-12-28,2026-12-30,24010.67,480.21,86.44,0.0,0.0
setl_2b3c9230e02040,order_ee3400dd1f5b45,pay_e9df857a4b8649,2026-12-29,2026-12-30,37970.6,759.41,136.69,2789.29,0.0
setl_2b3c9230e02040,order_2b48248d0a664c,pay_4dc5973bdb0c48,2026-12-28,2026-12-30,36057.93,721.16,129.81,0.0,0.0
setl_2b3c9230e02040,order_590216a09e9e47,pay_150c08084e864c,2026-12-29,2026-12-30,26874.7,537.49,96.75,336.4,0.0
setl_2b3c9230e02040,order_d2ae7c778f4e4c,pay_295840c4245a45,2026-12-29,2026-12-30,5004.32,100.09,18.02,212.74,0.0
setl_ebc39245389046,order_edcbc0e84f2b4f,pay_4ee8f48f931a48,2026-12-30,2027-01-01,27481.02,549.62,98.93,0.0,0.0
setl_ebc39245389046,order_a261b73e14d140,pay_3c2a4790893548,2026-12-31,2027-01-01,22293.29,445.87,80.26,0.0,0.0
setl_ebc39245389046,order_e71091b2791344,pay_fa18714c90b845,2026-12-31,2027-01-01,39970.95,799.42,143.9,0.0,0.0
setl_ebc39245389046,order_e82b4e7cb74644,pay_71312b8ad5f040,2026-12-30,2027-01-01,26613.43,532.27,95.81,0.0,0.0
setl_ebc39245389046,order_f45263cdec4449,pay_b3a29019cd3741,2026-12-31,2027-01-01,44451.07,889.02,160.02,0.0,5907.77
setl_37166f6b13d64a,order_067bb6cc8b9545,pay_9ed02317a92343,2027-01-02,2027-01-03,5445.81,108.92,19.61,525.78,0.0
setl_37166f6b13d64a,order_fc20e77d475b4d,pay_eff679d2c4d84c,2027-01-01,2027-01-03,32271.33,645.43,116.18,0.0,0.0
setl_37166f6b13d64a,order_7adf30ba69d447,pay_417f95f5be664c,2027-01-02,2027-01-03,14246.24,284.92,51.29,0.0,0.0
setl_37166f6b13d64a,order_7ace05a9739742,pay_946a23759a9243,2027-01-01,2027-01-03,6083.75,121.67,21.9,0.0,0.0
setl_37166f6b13d64a,order_726e567d08464c,pay_0ab11a0f1e0149,2027-01-01,2027-01-03,31330.44,626.61,112.79,0.0,0.0
setl_edb4dc55598c4a,order_9a30f9c8f52a42,pay_7f532ac4307942,2027-01-03,2027-01-05,14667.51,293.35,52.8,0.0,0.0
setl_edb4dc55598c4a,order_f5b846a0017546,pay_495cb4677bec4b,2027-01-04,2027-01-05,23330.43,466.61,83.99,985.22,0.0
setl_edb4dc55598c4a,order_5b23e25c100840,pay_b7ff61d9147449,2027-01-03,2027-01-05,11502.51,230.05,41.41,265.77,0.0
setl_edb4dc55598c4a,order_18df9bbb1f014f,pay_036f58b5fe2845,2027-01-04,2027-01-05,26781.94,535.64,96.42,0.0,0.0
setl_edb4dc55598c4a,order_718244fb001d41,pay_5ad47680a7de4a,2027-01-04,2027-01-05,18762.44,375.25,67.55,0.0,0.0
setl_edb4dc55598c4a,order_66e0de4ff3344c,pay_5805b149c3af4e,2027-01-04,2027-01-05,20772.48,415.45,74.78,310.72,0.0
setl_c453979d840540,order_e49eff87d9a745,pay_05006c955c9648,2027-01-05,2027-01-07,31264.5,625.29,112.55,0.0,5639.77
setl_c453979d840540,order_b72a69ed055a4c,pay_eb3d098d29134c,2027-01-06,2027-01-07,1105.19,22.1,3.98,0.0,0.0
setl_c453979d840540,order_bfa5e84bfe9744,pay_28e0fca8b6c246,2027-01-06,2027-01-07,2512.51,50.25,9.04,0.0,0.0
